Name,Type,Date,Download Speed,Upload Speed
long1950-5G,Wi-Fi,"07/2/21, 07:44",262 Mbps (32.8 MB/s),8.28 Mbps (1.03 MB/s)
long1950-5G,Wi-Fi,"06/28/21, 13:37",387 Mbps (48.4 MB/s),26.7 Mbps (3.34 MB/s)
long1950-5G,Wi-Fi,"06/24/21, 07:59",141 Mbps (17.6 MB/s),31.7 Mbps (3.96 MB/s)
long1950-5G,Wi-Fi,"06/22/21, 08:51",180 Mbps (22.5 MB/s),12.0 Mbps (1.50 MB/s)
long1950-5G,Wi-Fi,"06/5/21, 00:50",407 Mbps (50.9 MB/s),20.0 Mbps (2.50 MB/s)
long1950-5G,Wi-Fi,"06/1/21, 07:58",0 kbps (0 B/s),0 kbps (0 B/s)
long1950-5G,Wi-Fi,"05/31/21, 05:54",516 Mbps (64.6 MB/s),11.7 Mbps (1.46 MB/s)
,Wi-Fi,"05/29/21, 15:19",30.3 Mbps (3.79 MB/s),846 kbps (105 kB/s)
long1950,Wi-Fi,"05/24/21, 21:07",110 Mbps (13.7 MB/s),29.3 Mbps (3.66 MB/s)
long1950-5G,Wi-Fi,"05/24/21, 21:06",541 Mbps (67.7 MB/s),12.8 Mbps (1.60 MB/s)
long1950-5G,Wi-Fi,"05/16/21, 23:10",396 Mbps (49.6 MB/s),12.5 Mbps (1.57 MB/s)
long1950-5G,Wi-Fi,"04/30/21, 09:58",197 Mbps (24.7 MB/s),27.9 Mbps (3.48 MB/s)
AT&T,Cell,"03/31/21, 03:00",183 Mbps (22.9 MB/s),29.3 Mbps (3.67 MB/s)
long1950-5G,Wi-Fi,"03/29/21, 01:19",380 Mbps (47.5 MB/s),23.1 Mbps (2.89 MB/s)
AT&T,Cell,"03/16/21, 14:51",124 Mbps (15.5 MB/s),24.3 Mbps (3.04 MB/s)
long1950-5G,Wi-Fi,"03/10/21, 18:33",140 Mbps (17.5 MB/s),13.8 Mbps (1.73 MB/s)
long1950-5G,Wi-Fi,"03/3/21, 13:51",507 Mbps (63.4 MB/s),3.73 Mbps (466 kB/s)
long1950-5G,Wi-Fi,"03/1/21, 07:21",139 Mbps (17.4 MB/s),3.68 Mbps (459 kB/s)
long1950-5G,Wi-Fi,"02/18/21, 00:35",501 Mbps (62.6 MB/s),3.10 Mbps (388 kB/s)
long1950,Wi-Fi,"02/17/21, 07:05",63.9 Mbps (7.99 MB/s),5.18 Mbps (648 kB/s)
long1950-5G,Wi-Fi,"02/17/21, 07:00",415 Mbps (51.9 MB/s),7.71 Mbps (964 kB/s)
